EmpID,Position,SHIFT,1,2,3,4,5,6,7,8,total_productivity,productivity_rate_in_a_year
10026,Production Technician I,AR,50,55.5,53,51,54,65,24,58.5,411,1.126027397
10084,Sr. DBA,AR,22,61.5,34,65,52.5,88,95,69.5,487.5,1.335616438
10196,Production Technician II,AR,77,63,64,68,96,94.5,25,51.5,539,1.476712329
10088,Production Technician I,AR,68,60.5,59,33,89,73,29,75,486.5,1.332876712
10069,Production Technician I,AR,75,75,97.5,83,58,77,55,58,578.5,1.584931507
10002,Production Technician I,AR,62,62,26,51,91,73,63,27,455,1.246575342
10194,Software Engineer,AR,62,25,97,96.5,45,41,93,75,534.5,1.464383562
10062,Production Technician I,AR,93,45,61.5,31,59,90.5,96,78.5,554.5,1.519178082
10114,Production Technician I,AR,94,72,67.5,76.5,99,32,80,59,580,1.589041096
10250,IT Support,AR,68,61.5,74.5,28,67,70,80,80.5,529.5,1.450684932
10252,Production Technician I,AR,20,53,83,75.5,48,25,92,21,417.5,1.143835616
10242,Production Technician I,LA,0,0,83,54,61,37,20,78,333,0.912328767
10012,Data Analyst,AR,55,56,92.5,73,49,97,74,65,561.5,1.538356164
10265,Production Technician I,AR,70,90,72,59,66,30,92.5,65,544.5,1.491780822
10066,Production Technician I,AR,98,84.5,80,72.5,94,25,53.5,40,547.5,1.5
10061,Production Technician I,AR,88,56.5,72,75.5,34,99,83,60,568,1.556164384
10023,Production Technician II,LA,0,0,70,78.5,77.5,71,69,21,387,1.060273973
10055,Production Technician I,AR,61,35,53.5,100,75,69.5,90,99.5,583.5,1.598630137
10245,Database Administrator,AR,91,95,42,54,38,64,85,97,566,1.550684932
10277,Production Technician I,AR,99,79,53.5,51,80,94,68,60,584.5,1.601369863
10046,Production Technician I,AR,88,63,75,40,100,82.5,89,72,609.5,1.669863014
10226,Production Technician I,AR,61,71,96,57,78,94,39,61.5,557.5,1.52739726
10003,Production Technician I,AR,85,23,46,81,76,71.5,92.5,71,546,1.495890411
10294,Production Technician II,AR,76,93,84.5,63,85,71.5,55,23,551,1.509589041
10267,Production Technician II,AR,96.5,68,56,51,94.5,84,97.5,56,603.5,1.653424658
10199,Enterprise Architect,AR,39,41,97,91,100,76,40,65.5,549.5,1.505479452
10081,Sr. Accountant,AR,33,94,45,74,55,84,58,64.5,507.5,1.390410959
10175,Production Manager,AR,73,98.5,86,94,77,60,80.5,65,634,1.736986301
10177,Production Technician I,AR,94.5,67,81,31,78,55,69,65.5,541,1.482191781
10238,Accountant I,AR,94,57,40,91,81,82,94.5,93,632.5,1.732876712
10184,Production Technician II,AR,46,57.5,97,52.5,80,37,71.5,84,525.5,1.439726027
10203,Production Technician I,AR,76,49,67,86.5,20,92.5,80,22,493,1.350684932
10188,Area Sales Manager,AR,72,85,51,57,62.5,72.5,54,83,537,1.471232877
10107,Production Technician II,LA,0,0,46,68,74,92,65,73,418,1.145205479
10181,Production Technician II,AR,79,60,86,54,76,32,89,91,567,1.553424658
10150,Software Engineering Manager,AR,33,97,56.5,69,62.5,31,89.5,85.5,524,1.435616438
10001,Production Manager,AR,83,51,31,79.5,55.5,75,25,33,433,1.18630137
10085,Software Engineer,AR,90,89,84,30,40,90.5,70,70,563.5,1.543835616
10115,Production Technician I,AR,99,40,75,53.5,26,43,96,91,523.5,1.434246575
10082,Sr. DBA,AR,37,65,37,68,61,60.5,55,64.5,448,1.22739726
10040,Area Sales Manager,LA,0,0,63.5,36,66,80.5,56,77,379,1.038356164
10067,Production Technician I,AR,0,0,116,116,69,65,70.5,74.5,511,1.4
10108,BI Director,AR,0,0,0,0,81.5,136,191,159.5,568,1.556164384
10210,Production Technician I,AR,81.5,70,84,53,50.5,75,88,0,502,1.375342466
10154,Production Technician I,AR,43,75.5,75.5,91.5,85.5,39,52.5,64,526.5,1.442465753
10200,Area Sales Manager,AR,69,62.5,72.5,80,23,55.5,75,83,520.5,1.426027397
10240,Production Technician I,AR,84,78,74,62.5,67,65,54.5,43,528,1.446575342
10168,Production Technician I,AR,91,27,38,100,76,43,100,62.5,537.5,1.47260274
10220,IT Support,AR,53.5,57,78.5,59.5,73,53,77.5,86,538,1.473972603
10275,Production Technician II,AR,61,36,58,53.5,59.5,84,91,89,532,1.457534247
10269,Production Technician II,AR,75,54.5,77.5,80,77,36,71.5,77,548.5,1.502739726
10029,Production Technician I,AR,60,76,36,57.5,28,51,29,96,433.5,1.187671233
10261,Production Technician I,AR,80,91,71.5,92,53,57,90,73.5,608,1.665753425
10292,Production Technician I,AR,53,72,74.5,37,47,99.5,84.5,25,492.5,1.349315068
10282,Production Manager,AR,89,62,50,97,83,90,99,26,596,1.632876712
10019,Director of Operations,AR,72.5,34,78.5,56.5,90.5,62,22,20,436,1.194520548
10094,Production Technician I,AR,84.5,67,57,66,25,76,94.5,60,530,1.452054795
10193,Data Analyst,AR,93,37,98,54.5,44,23,46,79,474.5,1.3
10132,Production Technician I,AR,31,68,89,63,76,54,88,24,493,1.350684932
10083,Sr. Network Engineer,AR,76.5,74.5,73.5,36,86,58,96,83.5,584,1.6
10099,Sales Manager,AR,100,90,98.5,75,39,48,66,55.5,572,1.567123288
10212,Sr. Network Engineer,AR,57.5,99,70,98.5,62,94.5,80.5,95.5,657.5,1.801369863
10056,Production Technician I,AR,51.5,25,29,98.5,29,58,94,35,420,1.150684932
10143,Production Technician II,AR,72,51,99,76,20,72.5,60.5,61,512,1.402739726
10311,Production Technician I,AR,68.5,87,93.5,88,45,30,60,76,548,1.501369863
10070,Production Technician I,AR,85,98,88,68,66,94,54,77,630,1.726027397
10155,Software Engineer,AR,97.5,89,87,67,95.5,97,82,53.5,668.5,1.831506849
10306,Area Sales Manager,AR,57,73,88,89.5,93,61.5,97.5,64,623.5,1.708219178
10100,Production Technician II,AR,64,52,75.5,90,83,79,91,36,570.5,1.563013699
10310,Production Technician I,AR,25,54,94.5,32,73,79,66,85.5,509,1.394520548
10197,BI Developer,AR,98.5,96,93.5,93,52.5,54.5,92,79,659,1.805479452
10276,Production Technician I,AR,76,71.5,62.5,90,62.5,33,61.5,49,506,1.38630137
10304,Area Sales Manager,AR,61,59.5,96,56.5,51,84,32,78.5,518.5,1.420547945
10284,Production Technician I,AR,95,32,96.5,100,57,75,84,77,616.5,1.689041096
10207,Production Technician I,LA,0,0,52,77,75,55,53,56.5,368.5,1.009589041
10133,IT Support,LA,0,0,70.5,90,64.5,73.5,65.5,75,439,1.202739726
10028,IT Manager - Support,AR,0,0,95,59.5,42,96,85,97,474.5,1.3
10006,Area Sales Manager,AR,0,0,0,0,94,125,159.5,103,481.5,1.319178082
10105,Production Manager,AR,51,56,53.5,58,99.5,65.5,84,81,548.5,1.502739726
10211,Production Technician I,AR,60.5,84,68.5,86.5,57,99.5,86,79.5,621.5,1.702739726
10064,Production Technician I,AR,84.5,70,79,71.5,29,66,94.5,24,518.5,1.420547945
10247,Production Technician I,AR,91,63,53,90.5,96,58,78,86.5,616,1.687671233
10235,Production Technician I,AR,98,71,93,71,98,90.5,73,85,679.5,1.861643836
10299,Production Technician II,AR,92.5,76.5,68,89,93.5,89.5,74,85,668,1.830136986
10280,Production Technician I,AR,74,71.5,87,46,85.5,96,99,38,597,1.635616438
10296,Production Technician I,AR,36,88.5,99.5,75.5,57,32,72,86.5,547,1.498630137
10290,Software Engineer,AR,64,52,58,43,34,52.5,98,56,457.5,1.253424658
10263,Production Technician II,AR,35,76,62,78.5,70,90.5,63.5,56,531.5,1.456164384
10136,Production Technician II,AR,83.5,58.5,71,51,56,87,67.5,36,510.5,1.398630137
10189,Production Technician I,AR,50.5,93.5,89.5,57.5,56.5,51.5,59,66.5,524.5,1.436986301
10308,Production Technician I,AR,56.5,34,79,74,82,63,99,74.5,562,1.539726027
10309,Network Engineer,AR,88,76.5,71,20,79,95,52,59,540.5,1.480821918
10049,Production Technician I,AR,90.5,70,75.5,26,67.5,25,85.5,86.5,526.5,1.442465753
10093,Production Technician II,AR,65,54,24,93.5,78.5,90.5,70,52.5,528,1.446575342
10163,Production Technician II,AR,64,65.5,57,77.5,53,94,69,62,542,1.484931507
10305,Area Sales Manager,AR,77.5,91,86,80,34,68.5,52,64,553,1.515068493
10015,IT Director,AR,69.5,95,66,87,53.5,61,63,90.5,585.5,1.604109589
10080,Sr. Accountant,AR,87,61.5,99,63,71,99.5,96,30,607,1.663013699
10258,Area Sales Manager,AR,63,61,91.5,92,58.5,90,63.5,88,607.5,1.664383562
10273,IT Support,AR,73,66.5,82,98,75,87.5,73,73,628,1.720547945
10111,Production Technician I,LA,0,0,84.5,40,83.5,49,53.5,75.5,386,1.057534247
10257,Production Technician I,AR,0,0,128,127.5,67,37,33,96.5,489,1.339726027
10159,Production Technician I,AR,0,0,95,23,156.5,69.5,80,60.5,484.5,1.32739726
10122,Production Technician I,AR,0,0,94,92,74,60,112,84,516,1.41369863
10142,Area Sales Manager,AR,0,92,63,60.5,71,25,60,70.5,442,1.210958904
10283,Production Technician I,AR,62.5,67,56.5,99,65,80,75.5,53.5,559,1.531506849
10018,Production Technician I,AR,75,93,85,98,79.5,82,67,68.5,648,1.775342466
10255,Area Sales Manager,AR,61,63,21,72,74,97,81,81.5,550.5,1.508219178
10246,Database Administrator,AR,71.5,90.5,74,73.5,86,74.5,60,90.5,620.5,1.7
10228,IT Support,AR,92,55.5,26,98.5,56,85,78,59,550,1.506849315
10243,Production Technician I,AR,92.5,33,83.5,60,88.5,61.5,83,89,591,1.619178082
10031,Production Technician I,AR,43,86,99,60,85.5,85,87,95,640.5,1.754794521
10300,Production Technician II,AR,63.5,69,60,84,79.5,92,90.5,96.5,635,1.739726027
10101,IT Support,AR,37,91.5,83.5,98.5,66,82,99.5,81.5,639.5,1.752054795
10237,Production Technician II,AR,31,24,42,46,59,84,51,69,406,1.112328767
10051,Production Technician I,AR,46,59.5,37,69.5,92.5,69.5,71,79.5,524.5,1.436986301
10218,Production Technician II,AR,76,77,61,81,66.5,84.5,90,88,624,1.709589041
10256,Production Technician I,AR,67.5,87,48,36,79,61.5,38,72.5,489.5,1.34109589
10098,Production Manager,AR,90,89,76.5,84.5,34,35,90.5,59,558.5,1.530136986
10059,Production Technician I,AR,79.5,28,60,76,29,28,43,65.5,409,1.120547945
10234,BI Developer,AR,99,67,25,67.5,63,40,96,78,535.5,1.467123288
10109,Area Sales Manager,AR,85,81.5,88.5,76,84,53,86,77,631,1.728767123
10125,Production Technician I,AR,57,98.5,28,79.5,98,56,82,81.5,580.5,1.590410959
10074,Production Technician II,AR,89,62,62,94.5,95,44,26,61,533.5,1.461643836
10097,Production Technician I,AR,78,36,86,45,55,55,84,74,513,1.405479452
10007,Production Technician I,AR,68.5,62,69,97,78.5,33,87.5,43,538.5,1.475342466
10129,Production Technician I,AR,20,91.5,41,50,84,67,87.5,21,462,1.265753425
10075,Production Technician II,AR,50,64.5,44,21,61,67,20,95.5,423,1.15890411
10167,Area Sales Manager,AR,64,70,43,86,100,77.5,84,86.5,611,1.673972603
10195,Production Technician II,AR,83,78.5,82,59,43,62,61,54,522.5,1.431506849
10112,Database Administrator,AR,63.5,84,87,85.5,31,60.5,70,89,570.5,1.563013699
10272,Director of Sales,AR,81,48,60,85,51.5,57.5,55,92.5,530.5,1.453424658
10182,Administrative Assistant,AR,63.5,71.5,91,67,74,34,72,35,508,1.391780822
10248,Production Technician I,AR,53.5,34,77,73,83,91,44,90.5,546,1.495890411
10201,Production Technician II,AR,88,57,74,33,81.5,73,63.5,69.5,539.5,1.478082192
10214,Production Technician II,AR,24,87.5,73,76,24,82,90,50,506.5,1.387671233
10160,Production Technician II,AR,75,55.5,57.5,99,98.5,48,78,65,576.5,1.579452055
10289,Production Manager,AR,60,95.5,64.5,57,94.5,33,96,89,589.5,1.615068493
10139,Production Technician I,AR,67.5,97,60.5,66,97.5,27,75,50.5,541,1.482191781
10227,Production Technician I,AR,82,78,99,46,97,63,94,80,639,1.750684932
10236,Production Technician I,AR,77.5,87,61.5,73.5,96.5,56.5,49,92.5,594,1.62739726
10009,Production Technician II,AR,69,91,71,60.5,99,66.5,85,55,597,1.635616438
10060,Production Technician I,AR,84,51.5,44,56.5,69,81.5,48,59,493.5,1.352054795
10034,Production Technician I,AR,71,64,44,94,50,44,70,95.5,532.5,1.45890411
10156,Database Administrator,AR,62,27,77.5,38,98,55,94,23,474.5,1.3
10036,Production Technician II,AR,67,78,75,80.5,61,64,52,67,544.5,1.491780822
10138,Production Technician I,AR,79,52.5,45,63.5,96,78,72,56,542,1.484931507
10244,Sales Manager,AR,89,52.5,21,90,20,64,47,57,440.5,1.206849315
10192,Production Technician I,AR,47,32,57,73.5,64.5,57,38,84,453,1.24109589
10231,Area Sales Manager,LA,0,0,42,31,55,44,71,94,337,0.923287671
10089,President & CEO,AR,0,0,72,112,98.5,53.5,89,57,482,1.320547945
10166,Production Technician I,AR,0,0,72,75.5,64.5,99.5,97,84.5,493,1.350684932
10170,Production Technician I,AR,0,0,23,32,50,73,98.5,141,417.5,1.143835616
10208,Production Technician I,AR,59,38,51,97,82.5,58,67.5,89,542,1.484931507
10176,Production Technician I,AR,52,60,41,90,93.5,52.5,97,50,536,1.468493151
10165,Area Sales Manager,AR,72,99.5,54.5,74,75,57,51.5,52,535.5,1.467123288
10113,Sr. Network Engineer,AR,31,86.5,85,63,26,71.5,67.5,87,517.5,1.417808219
10092,Production Manager,AR,58.5,87,57,65,45,89,36,68,505.5,1.384931507
10106,Production Technician II,LA,0,0,59.5,73.5,77,84,58.5,60.5,413,1.131506849
10052,Production Technician I,AR,0,0,99,89.5,23,50,76,96.5,434,1.189041096
10038,Accountant I,AR,0,0,65,81.5,195.5,66,47,52,507,1.389041096
10249,Production Technician II,AR,0,0,70,80,50,47,156.5,186,589.5,1.615068493
10232,Senior BI Developer,AR,81,83,63,89,78.5,57.5,21,62,535,1.465753425
10087,Production Technician I,AR,84.5,79,77,56.5,34,22,71.5,80,504.5,1.382191781
10134,Shared Services Manager,AR,54.5,65,41,98.5,49,56,24,61,449,1.230136986
10251,Production Technician I,AR,64,98,55,98,69,91,74,59.5,608.5,1.667123288
10103,Area Sales Manager,AR,86,81,83,36,62,58,51.5,74,531.5,1.456164384
10017,Production Manager,AR,59.5,84,97,88,61,55,98.5,78,621,1.701369863
10186,Production Technician I,AR,88,79,49,28,94,47,41,51,477,1.306849315
10137,Production Technician II,AR,33,71,85,87,69.5,62,56.5,95,559,1.531506849
10008,IT Support,AR,87,78,75.5,86,64,98.5,56,45,590,1.616438356
10096,Production Technician II,AR,47,96,94,60.5,97,73,85.5,99.5,652.5,1.787671233
10035,Production Technician II,AR,51,87,78.5,68,76.5,54.5,99,90,604.5,1.656164384
10057,Production Technician I,AR,60,37,67,62,59,75.5,68.5,88.5,517.5,1.417808219
10004,Production Technician I,AR,60.5,83.5,40,57,52.5,99,69.5,86,548,1.501369863
10191,Production Technician I,AR,78,51.5,43,72,71,59.5,91,60,526,1.44109589
10219,Production Technician I,LA,0,0,61,82.5,44,82,60.5,67,397,1.087671233
10077,Production Technician II,AR,0,0,79,134,57.5,74,37,78.5,460,1.260273973
10073,Production Technician II,AR,0,0,80,85,118,195.5,87,97,662.5,1.815068493
10279,Production Technician I,AR,0,0,87,83,87,67,101.5,120,545.5,1.494520548
10110,Software Engineer,AR,74.5,84,49,94,92.5,92.5,89,98,673.5,1.845205479
10053,Production Technician I,AR,42,30,77.5,61,78,64.5,33,65,451,1.235616438
10076,Production Technician II,AR,100,97,26,77,92,73,92,69,626,1.715068493
10145,Production Technician I,AR,74,87,71,93,75,64.5,49,78.5,592,1.621917808
10202,Area Sales Manager,AR,55,86,67,72,80,75,72.5,97,604.5,1.656164384
10128,Production Technician I,AR,97,84,69.5,67.5,84.5,92,57.5,78,630,1.726027397
10068,Production Technician I,AR,77.5,24,63.5,81.5,66.5,79,88,57,537,1.471232877
10116,Production Manager,AR,55,77,53.5,22,90,65,65,76,503.5,1.379452055
10298,Production Technician II,AR,100,67,98.5,86.5,69,79.5,52.5,55,608,1.665753425
10213,Production Technician II,LA,0,0,81,91,61,29,30,87,379,1.038356164
10288,IT Manager - Infra,AR,85.5,70.5,89.5,72,91,80,22,69,579.5,1.587671233
10025,Production Technician II,AR,59,65,48,80,93.5,84,27,76.5,533,1.460273973
10223,Production Technician II,AR,90,99.5,59,57,60,75,78,45,563.5,1.543835616
10151,Network Engineer,AR,76,73.5,72,69,90,97,71.5,64,613,1.679452055
10254,Production Technician I,AR,91.5,58.5,20,68.5,83,55,51,56.5,484,1.326027397
10120,Production Technician II,AR,23,79,78.5,60,90,88.5,100,88,607,1.663013699
10216,Production Technician I,AR,99,89.5,92,67.5,95,74,96,69,682,1.868493151
10079,Senior BI Developer,AR,86.5,75,53.5,73,81,35,38,52,494,1.353424658
10215,Production Technician I,AR,31,78,55,88.5,51,27,28,50.5,409,1.120547945
10185,Production Technician I,AR,95.5,59,84,63,52,43,97,92,585.5,1.604109589
10063,Production Technician I,AR,51,84.5,50.5,69,24,54,90,87.5,510.5,1.398630137
10037,Production Technician I,AR,89,75,47,74.5,99,69,80,53,586.5,1.606849315
10042,Area Sales Manager,AR,61,84.5,73.5,64,97.5,81,54.5,78.5,594.5,1.628767123
10206,Production Technician I,AR,53.5,44,52,38,68,28,59,62,404.5,1.108219178
10104,Production Technician II,AR,54,49,86.5,89,77.5,82.5,69.5,0,508,1.391780822
10303,Production Technician I,AR,30,66,98,100,21,99.5,71,39,524.5,1.436986301
10078,Production Technician II,AR,81,78,99,69.5,56.5,90,71,97,642,1.75890411
10121,Area Sales Manager,AR,64.5,78.5,44,89,87,81.5,67,55.5,567,1.553424658
10021,Production Technician I,AR,46,77.5,93,30,77,63,30,94,510.5,1.398630137
10281,Production Technician I,AR,70,69,51,70.5,67,83,64,58,532.5,1.45890411
10041,Area Sales Manager,AR,66.5,100,76.5,69.5,94.5,42,47,56.5,552.5,1.51369863
10148,Production Technician I,AR,71.5,53.5,63,92,57,79,68,65.5,549.5,1.505479452
10005,Software Engineer,AR,95,76,91,99,57,62.5,67,59,606.5,1.661643836
10259,Data Analyst,LA,0,0,54,53,26,56,78,44,311,0.852054795
10286,Production Technician I,AR,57,59,32,81.5,94,43,70,87,523.5,1.434246575
10297,Production Technician II,AR,89,43,74.5,85,69.5,98,34,54.5,547.5,1.5
10171,Production Technician I,AR,87.5,69.5,87,97.5,70.5,77.5,58,51,598.5,1.639726027
10032,Production Technician II,AR,93.5,98,92.5,82.5,45,28,74.5,73,587,1.608219178
10130,Production Manager,AR,52,90,100,48,89,63,47,89.5,578.5,1.584931507
10217,Production Technician II,AR,24,68,66.5,52,62.5,98,81.5,66,518.5,1.420547945
10016,Data Analyst,AR,93,97,61,99.5,91,86.5,79,81,688,1.884931507
10050,Production Technician I,AR,38,72.5,61.5,62,24,51,67,80,456,1.249315068
10164,Production Technician I,AR,71,64,73,69.5,47,63,55,88,530.5,1.453424658
10124,Area Sales Manager,AR,60,80.5,91,80.5,55,50,50,81,548,1.501369863
10187,Production Technician I,AR,53.5,22,83.5,57,95,55,86.5,90.5,543,1.487671233
10225,Production Technician I,AR,59.5,91,58.5,95.5,85,93,23,89.5,595,1.630136986
10262,Production Technician I,AR,20,73.5,85,59,62,61.5,72,34,467,1.279452055
10131,Software Engineer,AR,63.5,76,56,62,71,62,74,33,497.5,1.363013699
10239,BI Developer,AR,40,21,93,82,66.5,97,76,55,530.5,1.453424658
10152,Production Technician I,AR,97.5,70,40,60,52,54,40,100,513.5,1.406849315
10140,Area Sales Manager,AR,97.5,72,79.5,63.5,98,83,67.5,92,653,1.789041096
10058,Production Technician I,AR,66,34,22,87,89,91,34,98,521,1.42739726
10011,Production Technician I,AR,99.5,93,65,42,58,69,71,42,539.5,1.478082192
10230,Production Technician II,AR,67.5,53,93.5,63.5,46,51.5,98,95.5,568.5,1.557534247
10224,Production Technician II,AR,69.5,85,76,75,61.5,32,75,95.5,569.5,1.560273973
10047,Production Technician I,AR,97,62,93.5,64,67,49,20,24,476.5,1.305479452
10285,Production Technician I,AR,69,76,23,24,36,35,75,81,419,1.147945205
10020,Production Technician I,AR,21,57.5,74.5,35,64,63,65,93.5,473.5,1.297260274
10162,Data Analyst,AR,50,57.5,52.5,89,28,67,68,70,482,1.320547945
10149,Principal Data Architect,AR,83,57.5,82,23,21,53.5,92.5,81.5,494,1.353424658
10086,Data Architect,AR,90,88,89,74,55,50,89,89,624,1.709589041
10054,Production Technician I,AR,58,65,53.5,28,75.5,89,68,59.5,496.5,1.360273973
10065,Production Technician I,AR,64,28,88,85,21,69.5,51.5,76,483,1.323287671
10198,IT Manager - DB,AR,54,47,51,77.5,93,73.5,95,56,547,1.498630137
10222,IT Manager - DB,AR,79,67.5,87,67,91,59.5,70,63,584,1.6
10126,Software Engineer,AR,74,98.5,87.5,71.5,79,83,66,21,580.5,1.590410959
10295,Production Technician I,AR,79,63,42,76,50,89,27,20,446,1.221917808
10260,Production Technician I,AR,73.5,58.5,66,70,69,88,83.5,24,532.5,1.45890411
10233,Production Technician II,AR,67.5,79.5,53,42,45,68.5,85,92,532.5,1.45890411
10229,Data Analyst ,AR,74.5,63,55,79,45,91,59,78,544.5,1.491780822
10169,Production Technician I,AR,87,39,23,80,73,82,99,39,522,1.430136986
10071,Production Technician I,AR,92,94.5,99,56,65,68.5,79,82,636,1.742465753
10179,Network Engineer,AR,81.5,89.5,94,62,29,85,65.5,77,583.5,1.598630137
10091,Production Technician I,AR,53.5,75.5,85.5,85.5,97,55,96,29,577,1.580821918
10178,Data Analyst,AR,52,93.5,57,75.5,84,59,72,71.5,564.5,1.546575342
10039,Administrative Assistant,AR,62,51,93.5,96,52,98,94,53,599.5,1.642465753
10095,Production Technician II,AR,95,27,96,82.5,87.5,62,89.5,91.5,631,1.728767123
10027,Production Technician II,AR,74.5,26,87,25,68,20,98.5,69,468,1.282191781
10291,Sales Manager,LA,0,0,77,76,98,78,89,64.5,482.5,1.321917808
10153,Administrative Assistant,AR,69.5,97.5,81,45,58,56,58,76,541,1.482191781
10157,Production Technician I,AR,96,29,80.5,84,58,71.5,73,29,521,1.42739726
10119,IT Support,AR,71,60.5,92.5,26,87,57,66,33,493,1.350684932
10180,Sr. Network Engineer,LA,0,0,94.5,85,61.5,29,31,96.5,397.5,1.089041096
10302,Production Technician I,AR,70,44,68.5,97.5,97,73,64,84,598,1.638356164
10090,Production Manager,AR,98,98,44,83,54,59.5,54.5,54,545,1.493150685
10030,Production Technician I,AR,95,80.5,70.5,78.5,40,93.5,93.5,29,580.5,1.590410959
10278,Production Technician I,AR,39,38,97,65,35,94,48,72.5,488.5,1.338356164
10307,Area Sales Manager,AR,72,52,63,71.5,98,65.5,54.5,57.5,534,1.463013699
10147,Accountant I,AR,99,57.5,39,33,37,86.5,79,55,486,1.331506849
10266,Production Technician I,AR,51,86,37,72.5,89.5,42,94,86,558,1.528767123
10241,Area Sales Manager,AR,58,91.5,58,46,91.5,54,67,81,547,1.498630137
10158,Production Manager,AR,68.5,70,66,95,85,97.5,75,88,645,1.767123288
10117,Production Technician I,AR,21,92,96,97,66,95.5,81,54,602.5,1.650684932
10209,Production Technician I,AR,97,70.5,73.5,48,60,37,72,68.5,526.5,1.442465753
10024,Software Engineer,AR,93,79,78.5,40,77.5,81.5,69,74,592.5,1.623287671
10173,BI Developer,AR,43,92,86.5,98.5,23,70,79,96,588,1.610958904
10221,Production Technician I,AR,83,96,65.5,85.5,63,56,88,62,599,1.64109589
10146,Production Technician II,AR,46,80,54,87,90,85,75.5,33,550.5,1.508219178
10161,Area Sales Manager,AR,97,57,28,55,58,61,78.5,93,527.5,1.445205479
10141,Production Technician I,AR,75,98,97.5,63.5,66,65,51,94,610,1.671232877
10268,Production Technician II,AR,43,93,85,96.5,86,67.5,78,88.5,637.5,1.746575342
10123,Production Technician I,AR,89,69.5,75,71,84,65,54.5,64,572,1.567123288
10013,Area Sales Manager,AR,70,60.5,65,78,85.5,65.5,67,76,567.5,1.554794521
10287,Production Technician I,AR,68,82.5,35,53,72.5,82.5,95,90,578.5,1.584931507
10044,Network Engineer,AR,75,62.5,67,96,81,72,70.5,61.5,585.5,1.604109589
10102,Software Engineer,AR,96,91.5,51,88,94.5,31,22,59,533,1.460273973
10270,Production Technician II,AR,66.5,50.5,71,67,25,41,74.5,85.5,481,1.317808219
10045,Network Engineer,AR,60.5,86,80,89,73,96,77,30,591.5,1.620547945
10205,Area Sales Manager,AR,90,97.5,84,58.5,30,79,67.5,81,587.5,1.609589041
10014,Production Technician I,AR,90,75,94,55,62,56.5,97,47,576.5,1.579452055
10144,Production Manager,AR,71.5,92.5,69.5,46,79,56.5,95,65,575,1.575342466
10253,Area Sales Manager,AR,80.5,79.5,65,84,74,40,99.5,79,601.5,1.647945205
10118,Database Administrator,AR,98.5,30,27,73.5,52,59,89.5,40,469.5,1.28630137
10022,Production Technician I,AR,94,90.5,36,62.5,66,73.5,79,54.5,556,1.523287671
10183,Production Technician I,AR,64,88,98.5,71,56,26,75,52,530.5,1.453424658
10190,Production Technician II,AR,78.5,92,50.5,30,66,41,92.5,68,518.5,1.420547945
10274,Production Manager,AR,57,43,89,35,78,97,40,90.5,529.5,1.450684932
10293,Production Technician I,AR,38,61,65.5,61,84,58,89.5,52,509,1.394520548
10172,Senior BI Developer,AR,55,58,52,65,29,92.5,81,78,510.5,1.398630137
10127,Sr. Network Engineer,AR,91,56.5,99,97,70.5,61,89.5,25,589.5,1.615068493
10072,Production Technician I,AR,59,58,72,98,82,89,65.5,82,605.5,1.65890411
10048,Production Technician I,AR,86,81,43,63.5,96.5,98.5,94.5,75,638,1.747945205
10204,Production Technician I,AR,63,40,52,92,62,80,73,80,542,1.484931507
10264,Production Technician I,AR,76,88.5,20,32,94.5,80.5,37,96.5,525,1.438356164
10033,Production Technician II,AR,64,57,62,94.5,64,67.5,69.5,26,504.5,1.382191781
10174,Production Technician II,AR,93,91,83,55,89,97.5,20,97,625.5,1.71369863
10135,Production Technician II,AR,91,87.5,91.5,44,41,73.5,65,51,544.5,1.491780822
10301,Production Technician I,AR,50.5,98,26,72,94,54,70,51,515.5,1.412328767
10010,CIO,AR,0,49,73,88.5,40,64,86,89.5,490,1.342465753
10043,Data Analyst,AR,83,72,45,67,57,33,69,79,505,1.383561644
10271,Production Technician I,AR,93,57,67.5,73.5,71,97,37,98,594,1.62739726
